stid,seqNum,latitude,longitude,time,behavior
2585490,118,35.21454,-80.9379,2025-04-12 11:38:44+00:00,1
2585490,8,35.21455,-80.9379,2025-04-12 11:38:45+00:00,1
2585490,156,35.21455,-80.9379,2025-04-12 11:38:46+00:00,1
2585490,51,35.21455,-80.9379,2025-04-12 11:38:47+00:00,1
2585490,210,35.21455,-80.9379,2025-04-12 11:38:48+00:00,1
2585490,117,35.21455,-80.9379,2025-04-12 11:38:49+00:00,1
2585490,7,35.21455,-80.9379,2025-04-12 11:38:50+00:00,1
2585490,156,35.21455,-80.9379,2025-04-12 11:38:51+00:00,1
2585490,51,35.21455,-80.9379,2025-04-12 11:38:52+00:00,1
2585490,198,35.21455,-80.9379,2025-04-12 11:38:53+00:00,1
2585490,111,35.21455,-80.9379,2025-04-12 11:38:54+00:00,1
2585490,5,35.21455,-80.9379,2025-04-12 11:38:55+00:00,1
2585490,198,35.21455,-80.9379,2025-04-12 11:54:39+00:00,1
2585490,69,35.21455,-80.9379,2025-04-12 11:54:40+00:00,1
2585490,204,35.21455,-80.9379,2025-04-12 11:54:41+00:00,1
2585490,81,35.21455,-80.9379,2025-04-12 11:54:42+00:00,1
2585490,215,35.21455,-80.9379,2025-04-12 11:54:43+00:00,1
2585490,89,35.21455,-80.9379,2025-04-12 11:54:44+00:00,1
2585490,220,35.21455,-80.9379,2025-04-12 11:54:45+00:00,1
2585490,98,35.21455,-80.9379,2025-04-12 11:54:46+00:00,1
2585490,228,35.21455,-80.9379,2025-04-12 11:54:47+00:00,1
2585490,105,35.21455,-80.9379,2025-04-12 11:54:48+00:00,1
2585490,232,35.21455,-80.9379,2025-04-12 11:54:49+00:00,1
2585490,106,35.21455,-80.9379,2025-04-12 11:54:50+00:00,1
2585490,237,35.21454,-80.9379,2025-04-12 11:54:51+00:00,1
2587032,195,35.20162,-80.94046,2025-04-12 11:10:45+00:00,1
2587032,47,35.20162,-80.94045,2025-04-12 11:10:46+00:00,1
2587032,154,35.20162,-80.94045,2025-04-12 11:10:47+00:00,1
2587032,4,35.20161,-80.94045,2025-04-12 11:10:48+00:00,1
2587032,109,35.20161,-80.94044,2025-04-12 11:10:49+00:00,1
2587032,215,35.20163,-80.94037,2025-04-12 11:10:50+00:00,1
2587032,61,35.20164,-80.94034,2025-04-12 11:10:51+00:00,1
